Col1,Col2,Col3,Col4,Col5
83.2078,0.00256301,,-0.00256301,0.0109215
83.3377,0.00255539,,-0.00255539,0.0109215
83.4649,0.00254871,,-0.00254871,0.0109215
83.5688,0.00254871,,-0.00254871,0.0109215
83.6961,0.00255014,,-0.00255014,0.0109215
83.7974,0.00255348,,-0.00255348,0.0109215
83.9247,0.00255395,,-0.00255395,0.0109215
84.0494,0.00253822,,-0.00253822,0.0109215
84.1506,0.00254871,,-0.00254871,0.0109215
84.2779,0.00254251,,-0.00254251,0.0109215
84.4078,0.00256826,,-0.00256826,0.0109215
84.5351,0.00257112,,-0.00257112,0.0109215
84.6364,0.00257732,,-0.00257732,0.0109215
84.761,0.00257875,,-0.00257875,0.0109215
84.8649,0.00258924,,-0.00258924,0.0109215
84.987,0.0025859,,-0.0025859,0.0109215
85.0883,0.0025797,,-0.0025797,0.0109215
85.2078,0.00258256,,-0.00258256,0.0109215
85.3325,0.00257637,,-0.00257637,0.0109215
85.4623,0.00256874,,-0.00256874,0.0109215
85.5844,0.00257732,,-0.00257732,0.0109215
85.7065,0.00257207,,-0.00257207,0.0109215
85.826,0.00257303,,-0.00257303,0.0109215
85.9429,0.0025797,,-0.0025797,0.0109215
86.0675,0.00258018,,-0.00258018,0.0109215
86.1896,0.00257684,,-0.00257684,0.0109215
86.3117,0.00256969,,-0.00256969,0.0109215
86.4338,0.00257589,,-0.00257589,0.0109215
86.5584,0.00257875,,-0.00257875,0.0109215
86.6857,0.0025921,,-0.0025921,0.0109215
86.8,0.00259449,,-0.00259449,0.0109215
86.9221,0.0025983,,-0.0025983,0.0109215
87.0416,0.00259353,,-0.00259353,0.0109215
87.1662,0.00260688,,-0.00260688,0.0109215
87.2779,0.00260688,,-0.00260688,0.0109215
87.4,0.00259592,,-0.00259592,0.0109215
87.5195,0.00258781,,-0.00258781,0.0109215
87.6364,0.00259353,,-0.00259353,0.0109215
87.7584,0.00259496,,-0.00259496,0.0109215
87.8779,0.00258972,,-0.00258972,0.0109215
87.9948,0.00259115,,-0.00259115,0.0109215
88.1117,0.00258686,,-0.00258686,0.0109215
88.2312,0.00260259,,-0.00260259,0.0109215
88.3429,0.0025983,,-0.0025983,0.0109215
88.4623,0.00259019,,-0.00259019,0.0109215
88.5792,0.00258638,,-0.00258638,0.0109215
88.6961,0.00258543,,-0.00258543,0.0109215
88.8104,0.00258352,,-0.00258352,0.0109215
88.9273,0.0025859,,-0.0025859,0.0109215
89.0442,0.00258161,,-0.00258161,0.0109215
89.1558,0.00258352,,-0.00258352,0.0109215
89.2701,0.00258495,,-0.00258495,0.0109215
89.3844,0.00257541,,-0.00257541,0.0109215
89.5013,0.00258161,,-0.00258161,0.0109215
89.613,0.00257732,,-0.00257732,0.0109215
89.7351,0.00258256,,-0.00258256,0.0109215
89.8416,0.00260259,,-0.00260259,0.0109215
89.9532,0.00260021,,-0.00260021,0.0109215
90.0675,0.00261833,,-0.00261833,0.0109215
90.1844,0.00261261,,-0.00261261,0.0109215
90.2909,0.00261404,,-0.00261404,0.0109215
90.4052,0.00260498,,-0.00260498,0.0109215
90.5117,0.00260593,,-0.00260593,0.0109215
90.6208,0.00261356,,-0.00261356,0.0109215
90.7325,0.00261261,,-0.00261261,0.0109215
90.8468,0.00262119,,-0.00262119,0.0109215
90.9584,0.00261928,,-0.00261928,0.0109215
91.0701,0.00261356,,-0.00261356,0.0109215
91.1818,0.00260641,,-0.00260641,0.0109215
91.2883,0.00261022,,-0.00261022,0.0109215
91.3974,0.00261451,,-0.00261451,0.0109215
91.5091,0.00262262,,-0.00262262,0.0109215
91.6156,0.00262071,,-0.00262071,0.0109215
